,合约名称,最新价,涨跌,持仓量,成交量,成交金额,买卖价,昨结算,开盘,最低,最高,现手, 
118,ru1806,14230,60.0,238,14,1990200.0,14000/14685,14170,14205,14205,14235,,【走势图】
121,ru1809,14325,-40.0,74528,27934,4000212900.0,14320/14330,14365,14340,14245,14390,,【走势图】
123,ru1811,14500,-10.0,124,10,1449100.0,13800/15200,14510,14460,14460,14530,,【走势图】
124,ru1901,16180,-5.0,10954,2922,472849000.0,16175/16190,16185,16190,16125,16250,,【走势图】
128,sn1805,146330,1700.0,19070,11188,1632565680.0,146260/146320,144630,145980,145340,146450,,【走势图】
132,sn1809,147450,1220.0,804,210,30885180.0,147260/147500,146230,147110,146500,147450,,【走势图】
134,sn1811,149310,2530.0,2,2,298620.0,/,146780,149310,149310,149310,,【走势图】
149,zn1802,26165,175.0,79054,25998,3398515950.0,26165/26170,25990,26180,26050,26230,,【走势图】
150,zn1803,26170,165.0,228198,224258,29331144150.0,26165/26170,26005,26200,26050,26250,,【走势图】
151,zn1804,26155,165.0,90420,43322,5663197050.0,26150/26155,25990,26220,26040,26235,,【走势图】
152,zn1805,26105,150.0,85240,25198,3288532550.0,26110/26115,25955,26170,26010,26200,,【走势图】
153,zn1806,26040,150.0,19064,3540,460882450.0,26005/26060,25890,26100,25950,26140,,【走势图】
154,zn1807,26005,125.0,1608,376,48840650.0,25975/26010,25880,26010,25925,26040,,【走势图】
155,zn1808,25925,155.0,412,66,8551500.0,25850/25930,25770,25925,25840,25945,,【走势图】
156,zn1809,25800,80.0,746,112,14481950.0,25700/25905,25720,25940,25795,25940,,【走势图】
157,zn1810,25815,185.0,724,28,3609500.0,25790/25850,25630,26880,24635,26880,,【走势图】
158,zn1811,25770,200.0,214,6,773100.0,24945/25780,25570,25770,25770,25770,,【走势图】
159,zn1812,25720,35.0,82,6,770850.0,24745/25720,25685,25645,25645,25720,,【走势图】
160,zn1901,25640,145.0,18,14,1795600.0,25500/25700,25495,25685,25630,25685,,【走势图】
